,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
181,Ghost,,PG-13,"['Drama', ' Fantasy', ' Romance']",127,7.1,52,218472
182,The Danish Girl,,R,"['Biography', ' Drama', ' Romance']",119,7.1,66,186932
183,Hairspray,,PG,"['Comedy', ' Drama', ' Musical']",117,6.7,81,131492
184,Princess Mononoke,,PG-13,"['Animation', ' Action', ' Adventure']",134,8.4,76,394022
185,Escape Room,,PG-13,"['Action', ' Adventure', ' Horror']",99,6.4,48,123526
186,Gunpowder Milkshake,,R,"['Action', ' Crime', ' Thriller']",114,6,47,44925
187,300: Rise of an Empire,,R,"['Action', ' Drama']",102,6.2,48,302496
188,Is That Black Enough for You?!?,,R,"['Documentary', ' History']",135,7.4,83,426
189,Brooklyn,,PG-13,"['Drama', ' Romance']",117,7.5,88,143084
190,The Lincoln Lawyer,,R,"['Crime', ' Drama', ' Mystery']",118,7.3,63,239864
191,Sicario: Day of the Soldado,,R,"['Action', ' Crime', ' Drama']",122,7,61,148911
192,The Swimmers,,PG-13,"['Biography', ' Drama', ' Sport']",134,7.1,63,369
193,Outlaw King,,R,"['Action', ' Biography', ' Drama']",121,6.9,59,72905
194,"tick, tick... BOOM!",,PG-13,"['Biography', ' Drama', ' Musical']",120,7.5,74,105557
195,The A-Team,,PG-13,"['Action', ' Adventure', ' Thriller']",117,6.7,47,259965
196,Breakfast at Tiffany's,,Approved,"['Comedy', ' Drama', ' Romance']",115,7.6,76,181279
197,Don't Breathe,,R,"['Crime', ' Horror', ' Thriller']",88,7.1,71,275852
198,Knocked Up,,R,"['Comedy', ' Romance']",129,6.9,85,370986
199,The Dictator,,R,['Comedy'],83,6.4,58,308419
200,Spartacus,,PG-13,"['Adventure', ' Biography', ' Drama']",197,7.9,87,135694
201,Jurassic World: Fallen Kingdom,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",128,6.1,51,316912
202,Robin Hood,,PG-13,"['Action', ' Adventure', ' Drama']",116,5.3,32,74488
203,The Emperor's New Groove,,G,"['Animation', ' Adventure', ' Comedy']",78,7.4,70,205254
204,Conan the Barbarian,,R,"['Action', ' Adventure', ' Fantasy']",113,5.1,36,99695
205,The Christmas Chronicles: Part Two,,PG,"['Adventure', ' Comedy', ' Family']",112,6,51,30213
206,As Good as It Gets,,PG-13,"['Comedy', ' Drama', ' Romance']",139,7.7,67,299856
207,Single All the Way,,TV-PG,"['Comedy', ' Drama', ' Romance']",99,6.1,49,15941
208,Kong: Skull Island,,PG-13,"['Action', ' Adventure', ' Fantasy']",118,6.6,62,320064
209,Noah,,PG-13,"['Action', ' Adventure', ' Drama']",138,5.8,68,256065
210,White House Down,,PG-13,"['Action', ' Drama', ' Thriller']",131,6.3,52,223330
211,Southpaw,,R,"['Action', ' Crime', ' Drama']",124,7.3,57,238254
212,Paddington 2,,PG,"['Adventure', ' Comedy', ' Family']",103,7.8,88,79438
213,Black Crab,,TV-MA,"['Action', ' Adventure', ' Drama']",114,5.7,54,21111
214,Lone Survivor,,R,"['Action', ' Biography', ' Drama']",121,7.5,60,288820
215,The Founder,,PG-13,"['Biography', ' Drama']",115,7.2,66,152017
216,12 Strong,,R,"['Action', ' Drama', ' History']",130,6.5,54,82716
217,Pixels,,PG-13,"['Action', ' Comedy', ' Fantasy']",105,5.6,27,145752
218,Atomic Blonde,,R,"['Action', ' Thriller']",115,6.7,63,194963
219,Mars Attacks!,,PG-13,"['Comedy', ' Sci-Fi']",106,6.4,52,229129
220,A Walk to Remember,,PG,"['Drama', ' Romance']",101,7.3,35,212232
221,Hush,,R,"['Horror', ' Thriller']",82,6.6,67,136061
222,The Mitchells vs the Machines,,PG,"['Animation', ' Adventure', ' Comedy']",114,7.6,81,108500
223,A Cinderella Story,,PG,"['Comedy', ' Family', ' Romance']",95,5.9,25,88583
224,Love and Monsters,,PG-13,"['Action', ' Adventure', ' Comedy']",109,6.9,63,127982
225,Waterworld,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,6.2,56,197613
226,The Lost World: Jurassic Park,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,6.5,59,418873
227,Chip 'n Dale: Rescue Rangers,,PG,"['Animation', ' Adventure', ' Comedy']",97,7,66,39809
228,My Neighbor Totoro,,G,"['Animation', ' Comedy', ' Family']",86,8.1,86,338949
229,White Girl,,TV-MA,"['Crime', ' Drama']",88,5.7,65,11045
230,Public Enemies,,R,"['Action', ' Biography', ' Crime']",140,7,70,304464
231,Home Team,,PG,"['Comedy', ' Sport']",95,6,23,18935
232,Project X,,R,['Comedy'],88,6.6,48,211892
233,Bill & Ted Face the Music,,PG-13,"['Adventure', ' Comedy', ' Music']",91,5.9,65,48166
234,The Expendables 2,,R,"['Action', ' Adventure', ' Thriller']",103,6.6,51,308458
235,Monster Hunter,,PG-13,"['Action', ' Adventure', ' Fantasy']",103,5.2,47,59486
