,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
468,Artemis Fowl,,PG,"['Adventure', ' Family', ' Fantasy']",95,4.2,31,28591
469,Date Night,,PG-13,"['Comedy', ' Crime', ' Romance']",88,6.3,56,163956
470,Flightplan,,PG-13,"['Drama', ' Mystery', ' Thriller']",98,6.3,53,163718
471,Don't Say a Word,,R,"['Drama', ' Mystery', ' Thriller']",113,6.3,38,53212
472,The Best Exotic Marigold Hotel,,PG-13,"['Comedy', ' Drama', ' Romance']",124,7.2,62,96002
473,Mirrors,,R,"['Horror', ' Mystery']",110,6.1,35,108489
474,The Rescuers Down Under,,G,"['Animation', ' Adventure', ' Comedy']",77,6.8,70,43591
475,The Kid Who Would Be King,,PG,"['Action', ' Adventure', ' Family']",120,6.1,66,17192
476,What's Your Number?,,R,"['Comedy', ' Romance']",106,6,35,81851
477,Vacation Friends,,R,"['Adventure', ' Comedy']",103,6.3,49,22652
478,The Peanuts Movie,,G,"['Animation', ' Adventure', ' Comedy']",88,7,67,46599
479,Centurion,,R,"['Action', ' Drama', ' History']",97,6.3,62,83403
480,Gnomeo & Juliet,,G,"['Animation', ' Adventure', ' Comedy']",84,5.9,53,56473
481,The Rescuers,,G,"['Animation', ' Adventure', ' Comedy']",78,6.9,74,64892
482,Blank Check,,PG,"['Comedy', ' Crime', ' Family']",93,5.2,42,20895
483,Epic,,PG,"['Animation', ' Action', ' Adventure']",102,6.6,52,106017
484,Ice Age: The Meltdown,,PG,"['Animation', ' Adventure', ' Comedy']",91,6.8,59,279436
485,Gulliver's Travels,,PG,"['Adventure', ' Comedy', ' Family']",85,4.9,33,70224
486,Aloha,,PG-13,"['Comedy', ' Drama', ' Romance']",105,5.4,40,67433
487,Swiss Family Robinson,,G,"['Adventure', ' Family']",126,7.1,61,16651
488,Paper Towns,,PG-13,"['Adventure', ' Comedy', ' Drama']",109,6.2,56,103645
489,Rise,,PG,"['Biography', ' Drama', ' Sport']",113,7,74,6589
490,Black Beauty,,TV-PG,"['Drama', ' Family']",110,6.4,52,3828
491,Flubber,,PG,"['Comedy', ' Family', ' Sci-Fi']",93,5.3,37,90364
492,The Lizzie McGuire Movie,,PG,"['Adventure', ' Comedy', ' Family']",94,5.5,56,40056
493,Rio 2,,G,"['Animation', ' Adventure', ' Comedy']",101,6.3,49,91463
494,The Black Cauldron,,PG,"['Animation', ' Action', ' Adventure']",80,6.3,59,36973
495,Frankenweenie,,PG,"['Animation', ' Comedy', ' Drama']",87,6.9,74,109223
496,Race to Witch Mountain,,PG,"['Action', ' Adventure', ' Family']",98,5.7,52,60361
497,The Straight Story,,G,"['Biography', ' Drama']",112,8,86,91120
498,Men of Honor,,R,"['Biography', ' Drama']",129,7.2,56,117976
499,Because of Winn-Dixie,,PG,"['Comedy', ' Drama', ' Family']",106,6.3,54,11836
500,The Black Hole,,PG,"['Action', ' Sci-Fi']",98,5.9,52,26074
501,Pete's Dragon,,G,"['Animation', ' Adventure', ' Comedy']",128,6.3,46,25084
502,The Negotiator,,R,"['Action', ' Crime', ' Drama']",140,7.3,62,143953
503,Drumline,,PG-13,"['Comedy', ' Drama', ' Romance']",118,5.9,63,34947
504,The Sword in the Stone,,G,"['Animation', ' Adventure', ' Comedy']",79,7.1,61,99200
505,Ice Age: Dawn of the Dinosaurs,,PG,"['Animation', ' Adventure', ' Comedy']",94,6.9,50,246519
506,High School Musical 3: Senior Year,,G,"['Comedy', ' Drama', ' Family']",112,4.9,57,63434
507,Stay,,R,"['Drama', ' Mystery', ' Thriller']",99,6.7,41,80174
508,Suffragette,,PG-13,"['Drama', ' History']",106,6.9,64,42573
509,Battle of the Sexes,,PG-13,"['Biography', ' Comedy', ' Drama']",121,6.7,73,56268
510,Books of Blood,,TV-MA,"['Drama', ' Horror', ' Mystery']",107,5.6,42,8007
511,Bambi,,G,"['Animation', ' Adventure', ' Drama']",69,7.3,91,144056
512,"20,000 Leagues Under the Sea",,G,"['Adventure', ' Drama', ' Family']",127,7.2,83,34370
513,Planes,,PG,"['Animation', ' Adventure', ' Comedy']",91,5.7,39,45796
514,The Object of My Affection,,R,"['Comedy', ' Drama', ' Romance']",111,6,51,20478
515,The Muppet Movie,,G,"['Adventure', ' Comedy', ' Family']",95,7.6,74,36574
516,Bride Wars,,PG,"['Comedy', ' Romance']",89,5.4,24,108771
517,Water for Elephants,,PG-13,"['Drama', ' Romance']",120,6.9,52,117057
518,Flight of the Phoenix,,PG-13,"['Action', ' Adventure', ' Drama']",113,6.1,47,54954
519,Ramona and Beezus,,G,"['Comedy', ' Drama', ' Family']",103,6.5,56,19066
520,All About Steve,,PG-13,"['Comedy', ' Romance']",99,4.8,17,42512
