,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
34714,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34715,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34716,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34717,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34718,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34719,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34720,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34721,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34722,Walking with Dinosaurs 3D,(2013),PG,"['Animation', ' Adventure', ' Comedy']",87,5.2,37,11448
34723,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34724,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34725,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34726,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34727,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34728,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34729,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34730,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34731,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34732,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34733,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34734,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34735,Walking with Dinosaurs 3D,(2013),PG,"['Animation', ' Adventure', ' Comedy']",87,5.2,37,11448
34736,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34737,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34738,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34739,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34740,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34741,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34742,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34743,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34744,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34745,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34746,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34747,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
34748,Walking with Dinosaurs 3D,(2013),PG,"['Animation', ' Adventure', ' Comedy']",87,5.2,37,11448
34749,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34750,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34751,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34752,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34753,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34754,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34755,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34756,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34757,Black Is King,(2020),TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
34758,Candleshoe,(1977),G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
34759,Swallows and Amazons,(2016),Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
