,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
34497,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34498,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34499,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34500,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34501,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34502,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34503,Baggage Claim,(2013),PG-13,"['Comedy', ' Romance']",96,5.1,34,9381
34504,Turbo: A Power Rangers Movie,(1997),PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
34505,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34506,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34507,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34508,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34509,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34510,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34511,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34512,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34513,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34514,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34515,Baggage Claim,(2013),PG-13,"['Comedy', ' Romance']",96,5.1,34,9381
34516,Turbo: A Power Rangers Movie,(1997),PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
34517,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34518,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34519,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34520,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34521,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34522,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34523,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34524,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34525,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34526,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34527,Baggage Claim,(2013),PG-13,"['Comedy', ' Romance']",96,5.1,34,9381
34528,Turbo: A Power Rangers Movie,(1997),PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
34529,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34530,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34531,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34532,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34533,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34534,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34535,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34536,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34537,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34538,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34539,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34540,Baggage Claim,(2013),PG-13,"['Comedy', ' Romance']",96,5.1,34,9381
34541,Turbo: A Power Rangers Movie,(1997),PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
34542,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34543,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34544,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34545,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34546,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34547,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34548,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34549,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34550,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34551,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34552,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34553,Turbo: A Power Rangers Movie,(1997),PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
34554,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34555,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34556,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34557,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34558,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34559,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34560,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34561,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34562,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34563,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34564,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34565,Turbo: A Power Rangers Movie,(1997),PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
34566,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34567,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34568,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
34569,The Shaggy Dog,(1959),Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
34570,Prom,(2011),PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
34571,Rebound,(2005),PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
34572,A Good Woman,(2004),PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
34573,Wendy,(2020),PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
34574,Aftershock,(2022),TV-MA,['Documentary'],86,6.5,87,227
34575,Tin Men,(1987),R,"['Comedy', ' Drama']",112,6.6,75,9174
34576,Phineas and Ferb the Movie: Candace Against the Universe,(2020),TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
34577,The Three Caballeros,(1944),Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
34578,Duets,(2000),R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
34579,The Tigger Movie,(2000),G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
